,event_name,video_id,title,url_thumb,tags,view_count,like_count,dislike_count,comment_count,created,blurriness,brightness,contrast,overexposure,entropy,avg_color,word_count,punctuation_count,character_count,google_hits,sentiment_vader,sentiment_blob_polarity,sentiment_blob_subjectivity
0,CanalTEDxRiodelaPlata,72321a94-f58e-47a2-9071-40a5ae54091e,Flash Mob en TEDxRiodelaPlata 2013 - El Brindis de la Traviata de Verdi,https://i.ytimg.com/vi/qJzRzdsGhC0/hqdefault.jpg,,2535385,13638,247,638,2017-12-06 18:32:44,190.29002676888265,0.18580462420428204,0.0,0.0,4.230425007616144,"(58.749155092592595, 44.37039351851852, 37.90209490740741)",12,1,71,14400,0.0,0.0,0.0
1,TEDxRiodelaPlata2013,ea1705b1-2eb7-4782-a9d3-4f88fcc0de5a,Nunca pidas permiso | Ronald Shakespear | TEDxRiodelaPlata,https://i.ytimg.com/vi/EFdEmbuikOw/hqdefault.jpg,"Diseño,TEDx,Español,tedx talks,Logos,tedx,Historia,ted talk,Shakespear,ted x,TEDxRiodelaPlata,Publicidad,Usina del Arte,ted,Argentina (Country),Educación,Culture,ted talks,Ad,Cultura,Diseño Shakespear,TEDxRíodelaPlata,History,Marcas,tedx talk,Imágen,Spani",1449486,14672,957,651,2017-10-06 13:54:54,231.82247079326473,0.13859094690393536,0.0,0.0,3.9542159309563996,"(52.247876157407404, 28.919444444444444, 27.765931712962963)",6,2,58,8320,0.0,0.0,0.0
2,TEDxJoven@RiodelaPlata 2011,54489a1b-12e8-4e5a-b9aa-bba37452309d,Sobre fideos y jabones: Luciano Mellera at TEDxJoven@RiodelaPlata,https://i.ytimg.com/vi/nZV1uefYywI/hqdefault.jpg,"Luciano,Mellera,Argentina,Buenos Aires,Spanish,Español,Castellano,TEDxRíodelaPlata,TEDxRiodelaPlata,TEDxJoven@RíodelaPlata,TEDxJoven@RiodelaPlata,TEDxYouth,TEDxJoven,Konex,Culture,Cultura,Humor,Stand-up,Standup,Comedy,Comedia,Risa,¨Silvio,Rodríguez¨,Unico",1037443,5648,233,256,2017-12-04 16:50:37,898.5482100479513,0.10352649830005803,0.0,0.0,3.4285799020116245,"(40.45034722222222, 20.933836805555554, 20.933125)",9,2,65,1610,0.0,0.0,0.0
3,TEDxRiodelaPlata2014,e5a40182-5cec-4e28-afe6-784750a83cd3,Las matematicas son para siempre | Eduardo Saenz de Cabezon | TEDxRiodelaPlata,https://i.ytimg.com/vi/jej8qlzlAGw/hqdefault.jpg,"tedx talk,Science (hard),Culture,Spanish,Mathematics,tedx talks,ted talk,TEDxTalks,Argentina,ted,tedx,ted x,ted talks",902644,28715,283,607,2017-10-06 13:54:58,81.85850962969737,0.1328538004557296,0.0,0.0,3.941090493391615,"(29.329189814814814, 33.29795717592592, 53.253929398148145)",10,2,78,20500,0.0,0.0,0.0
4,TEDxRiodelaPlata2015,ea927c7b-c454-4fa4-ae54-86900daa0fff,Secretos de la relación corazón-cerebro | Luciano Sposato | TEDxRiodelaPlata,https://i.ytimg.com/vi/c1iMoel2LxA/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Science (hard),Brain,Heart health,Medicine",879428,14275,498,198,2017-10-06 13:55:08,95.29774395111366,0.15839059335214156,0.0,0.0,4.243174200993695,"(33.96541666666667, 41.46484953703704, 57.23800925925926)",9,3,76,29200,0.0,0.0,0.0
5,TEDxJoven@RiodelaPlata 2011,a2d8a540-08d0-4e69-9ff6-c2331680a840,El placer de tener un problema no resuelto en la cabeza: Adrián Paenza at TEDxJoven@RiodelaPlata,https://i.ytimg.com/vi/ARXdEMbPTGs/hqdefault.jpg,"Adrián,Paenza,Argentina,Buenos Aires,Spanish,Español,Castellano,TEDxRíodelaPlata,TEDxRiodelaPlata,TEDxJoven@RíodelaPlata,TEDxJoven@RiodelaPlata,TEDxYouth,TEDxJoven,Konex,Matemática,Maths,Education,Educación,Problema,Problem,Ciencia,Science",659262,5097,121,204,2017-09-08 17:57:19,197.82395251813142,0.1115129711009838,0.0,0.0,3.3819056986652085,"(24.826469907407407, 34.61456597222222, 9.483350694444445)",16,2,96,4790,-0.296,0.0,0.0
6,TEDxRiodelaPlata2015,b172e3e0-cb3e-45ce-98fe-f832eb669b4b,La risa de las ideas | Luciano Mellera | TEDxRiodelaPlata,https://i.ytimg.com/vi/aipFCUURJSg/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Entertainment,Humor",644431,5175,197,88,2017-10-06 13:55:08,424.97549817919315,0.15749850802951387,0.0,0.0,4.1125266991463,"(40.43391203703704, 39.444068287037034, 48.07092013888889)",8,2,57,29700,0.0,0.0,0.0
7,TEDxRiodelaPlata2011,1a437a0a-1642-4806-a548-97217696d078,Cómo matar al intermediario | Hernán Casciari | TEDxRíodelaPlata,https://i.ytimg.com/vi/_VEYn3bXz34/hqdefault.jpg,"Activism,Media,ted x,Editorial Orsai,tedx,Community,Activismo,Gasalla,ted talk,Comunidad,Orsai,Medios de comunicación,Asuntos globales,Spanish,Blog Orsai,Global Issues,Español,Más respeto que soy tu madre,Periodismo,Social Change,Culture,Journalism,Cultur",603430,8565,153,429,2017-09-13 13:58:28,1871.2787380058303,0.37282845956307964,0.0,0.0,4.681711671874783,"(100.65532407407407, 94.58571180555556, 89.66444444444444)",7,2,64,13700,0.0,0.0,0.0
8,TEDxRiodelaPlata2017,ccc6e321-b621-41d8-93f7-ab9d57890b2e,¿Y te vas a quedar acá? |  Radagast | TEDxJoven@RíodelaPlata,https://i.ytimg.com/vi/IIh9LpMORD0/hqdefault.jpg,"TEDxTalks,Spanish,Life,Creativity,Curiosity,Entertainment,Motivation,Self improvement,Youth",595525,12089,321,191,2017-11-21 18:34:30,477.7086507656511,0.09862817834924764,0.0,0.0,3.0005468575045446,"(54.743917824074074, 12.541047453703703, 16.572690972222222)",9,4,60,6230000,0.0,0.0,0.0
9,TEDxRiodelaPlataED2015,05019150-ff66-433c-b04f-a449806aedae,Profesores que dejan marca | Oscar Ghillione | TEDxRiodelaPlataED,https://i.ytimg.com/vi/WVEnhecsj3Y/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Education,TEDxRíodelaPlata,Buenos Aires,Teach for All,Teach For America (Nonprofit Organization),Enseñá por Argentina,Shiny eyes,Ojos que brillan,Role models,Teachers,Maestros,Profesores,Usina del Arte",589537,5797,188,172,2017-10-06 13:55:24,230.70207137821984,0.16790326153790538,0.0,0.0,3.2594884288984622,"(53.93347800925926, 38.723946759259256, 38.50857060185185)",7,2,65,19700,0.0,0.0,0.0
10,TEDxRiodelaPlata2016,e14b82bc-aa25-4eb7-a9f8-f865c11a4fb1,Más risas de las ideas | Luciano Mellera | TEDxRíodelaPlata,https://i.ytimg.com/vi/pPClB6ws2Ew/hqdefault.jpg,TEDx,575477,6629,290,225,2017-10-06 13:55:16,103.08963919428233,0.0662112087673613,0.0,0.0,3.398890773132446,"(24.491354166666667, 14.290949074074074, 14.15519675925926)",8,2,59,6180,0.0,0.0,0.0
11,TEDxRiodelaPlataED2015,e4e1afa3-5ef5-4a94-9f4d-59f360e21f58,Preguntas para pensar | Melina Furman | TEDxRiodelaPlataED,https://i.ytimg.com/vi/LFB9WJeBCdA/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Education,TEDxRíodelaPlata,TEDx,Schools,Escuelas,Preguntas para pensar,Science Education (Field Of Study),Biología,Física,Química",445162,5923,157,115,2017-10-06 13:55:24,1354.8981220378791,0.20650553385416665,0.0,0.0,4.784028260809753,"(56.909375, 48.759606481481484, 67.40601273148148)",6,2,58,54200,0.0,0.0,0.0
12,TEDxRiodelaPlata2017,8deb1f2c-784f-43a6-83f2-0fc3236340eb,"Discapacidad, poder distinto | Constanza Orbaiz | TEDxRiodelaPlata",https://i.ytimg.com/vi/4NuF4HD94Qs/hqdefault.jpg,"TEDxTalks,Spanish,Humanities,Disability,Discrimination,Education,Social Change",412104,10492,261,264,2017-11-21 18:43:24,507.32390815275625,0.084615953233507,0.0,0.0,3.141781621903525,"(28.73919560185185, 17.32657986111111, 29.463981481481483)",6,3,66,17000,0.0,0.0,0.0
13,TEDxRiodelaPlata2012,8160278b-9251-49d5-a95e-6d90ab171675,La música de las ideas | Sergio Feferovich | TEDxRiodelaPlata,https://i.ytimg.com/vi/1wA2sl9IRcE/hqdefault.jpg,"Spanish,ted x,Entretainment,tedx,tedx talks,Español,Entretenimiento,Music,La música de las ideas,Performance,Buenos Aires,Ideas,Phil Collins,tedx talk,TEDxRíodelaPlata,ted talk,ted,Sergio Feferovich,Argentina,TEDxRiodelaPlata,Música clásica,Director de or",398919,3729,102,251,2017-09-18 17:53:05,222.7016657132307,0.09228719075520829,0.0,0.0,3.8133640237003124,"(33.888130787037035, 21.44374421296296, 11.115665509259259)",8,2,61,22200,0.0,0.0,0.0
14,TEDxRiodelaPlata2014,65b7f753-3a36-45f1-925a-8e150dc66547,¿Qué es la pobreza? | Daniel Cerezo | TEDxRiodelaPlata,https://i.ytimg.com/vi/rmEGBKXrxNs/hqdefault.jpg,"ted talk,superacion,español,tedx,Music (topic),pobreza,historias de vida,Poverty (Film Subject),ted,Culture,inspiracional,Humanities,ted x,Spanish,Argentina,carrera profesional,Social,Career/Life Development,tedx talk,ted talks,Gerente felicidad,tedx talk",383629,4428,169,251,2017-10-06 13:54:58,311.3195427127057,0.265210503472222,0.0,0.0,4.4127837598438795,"(70.23372106481482, 66.26673611111111, 73.55873842592592)",7,3,54,3300000,0.0,0.0,0.0
15,TEDxRiodelaPlata2013,d07bed52-232f-4f5b-95e9-152f0a8ef952,Cerebro y percepcion | LeBlanc&West | TEDxRiodelaPlata,https://i.ytimg.com/vi/zONDGowt5lw/hqdefault.jpg,"Gonzalo Le Blanc,TEDxRíodelaPlata,Argentina (Country),Psychology,Le Blanc & West,tedx,tedx talks,Psicología,TEDxRiodelaPlata,TEDx,Performance,Medicina,Daniel West,Spanish Language (Human Language),Medicine,ted,Percepción,ted talk,Ciencia,Sugestión,Enterta",356612,3819,106,162,2017-10-06 13:54:49,735.6226901467317,0.26072389955873815,0.0,0.0,4.408547446284539,"(89.40039351851851, 58.781475694444445, 51.10848958333333)",6,3,54,328000,0.0,0.0,0.0
